;;;→Unit;kJ/100g;kJ/100g;kcal/100 g;kcal/100 g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;RE (µg/100g);µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;alfa-TE;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;NE;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;mg/100g;mg/100g;mg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;mg/100g;µg/100g;mg/100g;µg/100g;mg/100g;µg/100g;µg/100g;mg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;µg/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;g/100g;mg/100g;g/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;mg/100g;%;No Unit;No Unit;g/ml;No Unit;;;
Oksekød, tykstegsfilet med kappe, rå;"Beef, rumpsteak ""cap on"", raw";966;966;715;715;171;171;19,4;16,4;19,4;0,0;0,0;0,0;0,0;10,4;0,0;0,1;1,0;30,8;69,2;9,0;9,0;0,0;;0,50;0,50;;;;0,34;0,34;;;;;0,00;;;;;;;;;0,0;0,06;;0,19;9,60;5,90;0,50;0,80;0,00;6;4;1,40;0,00;0,00;;50,0;340,0;5,0;21,0;;2,2;0,1;3,4;0,0;4,0;0,0;;6,5;;;;170;;;;0,90;;0,70;0,05;0,53;0,90;2,50;;588;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;0,31;0,06;2,62;0,12;1,27;;;;;;;0,15;;0,62;0,10;;4,10;;;0,00;;;;;;;;;;0,20;;0,13;;;;0,00;;;0,10;0,00;;;;;0,00;;;;;;4,38;4,97;0,43;;;9,78;0,13;0,30;64;3,26;979;1567;1697;522;140;816;685;881;222;1077;1240;685;1175;1795;2905;1044;849;816;;;8447;10650;0,230;;83,2;2,35;0,003;0,23;0,84;2,58;;6,233;2,0;6,25;0,940;;;58;Oksekød;Beef
Ribssaft, sød, koncentreret;Currant, red, juice, concentrated, sugar added;761;761;724;724;171;171;0,5;;0,5;41,0;41,0;41,0;0,0;0,5;0,0;0,1;0,2;42,2;57,8;;;;;;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;0,47;0,20;;;;;;;;;;24,0;;14,9;;;;;;;;;;;;;;16;;;;;;;;;;;;55;;;;;;;;;;41,00;33,00;33,00;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;0,09;;0,02;;;;;;;;;0,01;;;0,07;;;;;;;;;;;;;0,12;;0,09;;;;;;;0,00;;;;;;;;;;;;0,11;0,08;0,21;;;0,40;0,09;0,12;;0,08;18;30;26;8;3;17;8;17;16;22;30;9;23;73;68;19;18;22;;;;;;;;;;;;;;;0,0;6,25;0,800;1,102;;54;Bærjuice og bærsaft;Berry juices
Oliven, sorte, uden sten, i saltlage;Olives, black, without stones, in brine;251;251;703;703;171;171;1,0;;1,0;4,7;0,0;0,0;6,2;17,2;0,0;1,8;2,2;25,1;74,9;0,0;;;;0,00;;;;;6,10;;;;;;;;;;;;;;;;0,02;;0,00;;0,00;0,03;;;0;;0,00;0,00;;;706,0;19,0;103,0;16,0;;8,5;;0,1;;;;;0,9;;;;17;;;;0,00;;;;;;;;870;;;;;;;;;;0,00;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,08;10,20;1,51;;;;0,14;1,36;;0,16;;;;;;;;;;;;;;;;;;;;;;;;;10,3;;;;;;;;55,0;6,25;;;;55;Konserves og syltet bær og frugt;Canned fruit products
Brisling (ansjovis), marineret, konserves;Sprat, pickled, canned;1035;1035;896;709;215;171;13,4;10,5;13,4;11,0;11,0;0,0;0,0;13,0;0,0;9,0;9,6;47,0;53,0;390,0;390,0;0,0;;14,00;14,00;;;;2,31;2,31;;;;;0,00;;;;;;;;;0,0;0,01;;0,12;3,42;1,10;0,18;;;16;13;3,50;0,00;0,00;;3606,0;165,0;145,0;18,3;;1,8;0,2;3,4;0,1;2,0;0,0;;20,0;;;;210;;;;30,00;;5,00;;;;;;4146;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;;;;;0,10;;0,80;0,09;2,07;;0,28;;;;;;;;;0,83;;;2,07;;;0,51;;0,93;;;;;;;;0,26;;;;;;;;;0,32;0,96;;;;;;;1,14;;;;3,34;4,33;2,68;;;10,35;2,10;0,58;38;2,14;708;1051;1072;407;43;579;493;557;139;793;708;300;772;1265;1501;793;536;515;;;5610;6613;;;104;;;;;;;;0,0;6,25;0,796;;;79;Fiskeprodukter;Fish products
Kirsebærsaft, sød, koncentreret;Cherry juice, concentrated, sugar added;760;760;724;724;171;171;0,5;;0,5;41,0;41,0;41,0;0,0;0,5;0,0;0,1;0,2;42,2;57,8;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;0,33;0,20;;;;;;;;;;24,0;;8,0;;;0,1;;0,0;;;;;0,0;;;;;;;;0,10;;;;;;;;32;;;;;;;;;;41,00;28,00;28,00;;;0,00;;;;;;;;;;;;;;;;;;;;;;;0,00;;0,07;;0,02;;;;;;;;;0,00;;;0,12;;;;;;;;;;;;;0,07;;0,06;;;;;;;;;;;;;;;;;;;0,10;0,12;0,13;;;0,35;0,06;0,07;0;0,08;26;38;50;6;5;26;16;29;8;36;22;18;41;800;50;31;43;43;;;;;;;;;;;;;;;0,0;6,25;0,700;1,102;;54;Bærjuice og bærsaft;Berry juices
Fasan, kød og skind, rå;Pheasant, flesh and skin, raw;995;995;712;712;170;170;21,7;19,8;21,7;0,0;0,0;0,0;0,0;9,3;0,0;0,1;1,3;32,2;67,8;73,0;73,0;0,0;;1,40;;;;;;;;;;;0,00;;;;;;;;;0,0;0,07;;0,14;11,93;6,43;0,66;0,93;;6;;0,77;5,30;5,30;;40,0;243,0;12,0;20,0;;1,2;0,1;1,0;0,0;;;;;;;;214;;;;8,00;;;;;;;;530;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,01;;1,97;;1,11;;;;;;;;;1,42;;;2,57;;;0,00;;0,00;;;;;;;;1,10;;0,00;;0,00;;;;;0,07;0,00;;;;;0,03;;0,01;;;;3,09;3,99;1,20;;;8,29;0,04;1,16;71;3,63;1162;1852;1889;690;400;944;981;1090;331;1199;1489;799;1453;1925;2906;1816;1017;1090;;;9955;13075;;;85,8;;;;;;;;66,0;6,25;0,892;;;83;Fuglevildt;Game birds
Skæreost, 6%/10+;Cheese, firm, 6%/10% fidm.;1778;1778;734;716;175;170;28,9;;28,3;0,5;0,5;0,0;0,0;6,4;0,0;1,8;4,5;40,2;59,8;55,5;55,5;0,0;;0,11;;;;;0,15;0,15;;;;;0,00;;;;;;;;;0,0;0,02;;0,29;0,07;0,07;0,06;0,21;1,07;;;2,39;;;;720,0;73,5;860,0;36,6;;0,1;0,0;3,9;0,0;0,5;;;14,9;;;;550;;1220,00;;14,05;;2,35;;;;;;3460;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;0,00;;;;;0,00;;;;;;;;;;;;;;;;;0,21;0,15;0,08;0,17;0,19;;0,58;0,06;1,65;;0,65;;;;;;;0,05;;0,08;;0,05;1,14;;;;;;;;;;0,21;;;0,10;0,02;0,03;;;;;;;;;;;;;;;;0,04;;0,13;3,72;1,32;0,14;0,25;;5,56;0,03;0,10;23;4,53;;;;;;;;;;;;;;;;;;;;;;;;;15,4;;;;;;;;;6,38;0,873;;;13;Fast løbeost;Firm rennet cheese
Fersken iste, tilsat sukker og kunstig sødestof;Peach Icetea, sugar and artificial sweetener added;1887;1887;0;74;0;17;0,0;;0,0;;;4,4;0,0;0,0;0,0;0,1;0,0;4,8;95,2;0,0;0,0;0,0;;0,00;;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0;;0,00;3,00;3,00;0,00;25,8;5,2;3,4;0,4;;0,0;0,0;0,0;0,1;;;;0,0;;;;0;;;;0,21;;;;;;;;35;1,58;0,00;0,43;2,01;0,00;0,00;2,35;2,35;;4,36;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,0;6,25;;1,017;3,7;106;Andre drikkevarer;Other beverages
Squash, rå;Squash, raw;56;56;62;72;15;17;1,3;0,7;1,3;2,8;1,6;2,2;1,2;0,1;0,0;0,0;0,6;4,7;95,3;35,5;0,0;213,1;;0,00;0,00;;;;0,49;0,49;;;;;5,05;;;;;;;;;5,1;0,02;;0,04;0,52;0,29;0,06;0,12;3,63;17;;0,00;8,36;;;0,4;247,5;20,2;19,0;;0,3;0,1;0,3;0,1;0,0;7,3;;0,0;;;;38;;;;0,00;;4,40;0,05;0,10;3,60;1,10;;325;1,25;0,00;0,95;2,20;0,00;0,00;0,00;0,00;0,00;2,20;0,00;0,00;;;0,00;;;1,09;0,11;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;0,02;;0,00;;;;;;;;;0,00;;;0,01;;;0,00;;0,00;;;;;;;;0,02;;0,03;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;0,02;0,01;0,04;;;0,07;0,03;0,02;0;0,20;20;58;61;0;14;36;32;31;14;47;68;20;47;131;178;38;16;55;0;;287;578;0,010;;9,5;;;;;;;0,01;7,4;6,25;0,714;;;41;Frugt-grøntsager;Fruit -Vegetables
Pak choi (bok choy), rå;Pak choi (bok choy), raw;643;643;61;73;15;17;1,5;1,1;1,5;2,2;1,2;1,9;1,0;0,2;0,0;0,2;0,8;4,7;95,3;300,0;0,0;1800,0;;0,00;0,00;;;;;;;;;;;;;;;;;;;;0,04;;0,07;0,75;0,50;0,24;0,09;;66;;0,00;45,00;45,00;;65,0;252,0;105,0;19,0;;0,8;0,0;0,2;0,2;;;;;;;;37;;;;;;;;;;;;479;;;;;;;;;;1,50;0,00;0,00;;;0,40;;;;;;0,60;;;;;;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;0,02;;0,00;;;;;;;;;0,00;;;0,01;;;0,00;;0,00;;;;;;;;0,04;;0,05;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;0,03;0,01;0,10;;;0,14;0,05;0,04;0;0,24;84;89;89;9;17;43;29;48;15;65;84;26;86;108;360;43;31;48;;;468;807;;;6,4;;;;;;;;12,0;6,25;0,687;;;40;Blad- og stængelgrøntsager;Leaf and stem vegetables
Koncentreret læskedrik, tilsat sukker og kunstig sødestof, fortyndes 1+11;Concentrated soft drink, not carbonated, sugar and artificial sweetener added, dilution 1+11;1904;1904;116;74;27;17;0,0;;0,0;6,8;6,8;4,4;0,0;0,0;0,0;0,2;0,3;7,1;92,9;0,0;0,0;0,0;;0,00;;;;;0,00;0,00;;;;;0,00;;;;;;;;;0,00;0,00;;0,00;0,09;0,09;0,00;0,03;0,88;1;;0,00;;0,00;0,00;67,5;19,3;6,1;0,8;;0,0;0,0;0,0;0,0;;;;0,0;;;;0;;;;0,45;;;;;;;;94;2,01;0,00;1,97;3,98;0,00;0,00;0,39;0,39;;4,37;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,00;;;;;;;;;;;;;;;;;;;;;;;;;0,0;;;;;;;;0,0;6,25;;1,025;2,6;106;Andre drikkevarer;Other beverages
Rødkål, konserves, uden tilsat sukker;Cabbage, red, canned, no sugar added;342;342;82;69;20;17;0,5;0,3;0,5;5,5;2,9;2,1;2,6;0,1;0,0;0,8;1,1;7,2;92,8;4,2;0,0;25,0;;0,00;0,00;;;;0,07;0,07;;;;;;;;;;;;;;;0,07;;0,05;0,66;0,60;0,15;0,32;0,10;46;23;0,00;20,00;20,00;;300,0;100,0;39,3;6,0;;0,8;0,0;0,6;0,1;2,0;10,0;;0,3;;;;29;;;;0,10;;3,00;;;;;;475;;;;;;;;;;2,00;0,00;0,00;;;0,10;;;;;;;;;;;;;;;;;;;;;;;;;0,02;;0,00;;;;;;;;;0,00;;;0,00;;;;;;;;;;;;;0,04;;0,02;;;;;;;0,00;;;;;;;;;;;;0,02;0,01;0,05;;;0,08;0,02;0,04;0;0,08;14;15;15;4;0;9;6;6;4;22;21;8;25;42;119;10;18;25;;;312;856;;;21,4;;;;;;;;0,0;6,25;0,800;;;46;Grøntsagskonserves;Canned vegetable products
Kinakål, rå;Cabbage, Chinese, raw;573;573;71;70;17;17;1,3;0,9;1,3;3,2;2,0;1,9;1,2;0,2;0,0;0,0;0,6;5,2;94,8;120,0;0,0;720,0;;0,00;0,00;;;;0,12;0,12;;;;;;;;;;;;;;;0,04;;0,05;0,61;0,40;0,14;0,11;;96;42;0,00;26,00;26,00;;9,0;238,0;30,4;13,0;;0,3;0,0;0,1;0,2;1,2;;;0,3;;;;40;;;;0,30;;1,75;0,23;0,45;0,97;0,40;;331;0,82;;1,06;1,88;;0,00;0,04;0,04;0,00;1,92;0,00;0,00;;;0,00;;;;;;0,60;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;0,00;;0,04;;0,01;;;;;;;;;0,00;;;0,02;;;0,00;;0,00;;;;;;;;0,01;;0,06;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;0,04;0,02;0,07;;;0,13;0,06;0,01;0;0,20;70;72;74;7;14;36;24;40;12;56;70;22;72;91;302;36;26;40;;;392;676;;;7,6;;;;;;;;19,1;6,25;0,800;;;40;Blad- og stængelgrøntsager;Leaf and stem vegetables
Tomatjuice;Tomato juice;1869;1869;85;72;20;17;0,9;;0,9;3,7;3,3;2,5;0,4;0,3;0,0;0,5;0,9;5,8;94,2;32,7;0,0;196,0;;0,00;;;;;0,32;0,32;;;;;2,30;;;;;;;;;2,3;0,10;;0,08;0,59;0,59;0,07;0,05;3,30;20;;0,00;8,00;;;209,0;209,0;13,5;9,6;;0,4;0,1;0,1;0,1;;;;0,5;;;;16;;;;1,19;;;;;;;;457;1,33;0,00;1,21;2,54;0,00;0,00;0,00;0,00;;2,54;;;;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,14;;;;;;;;;;;;;;;;;;;;;;;;;6,8;;;;;;;;0,0;6,25;;1,021;4,2;45;Grøntsagsjuice;Vegetable juices
Salat, endivie, bredbladet (escarole), rå;Endive (escarole), raw;585;585;58;72;14;17;1,3;0,9;1,3;3,3;0,2;1,1;3,1;0,2;0,0;0,1;1,4;6,2;93,8;205,0;0,0;1230,0;;0,00;0,00;;;;;;;;;;;;;;;;;;;;0,08;;0,08;0,48;0,40;0,02;0,90;;142;;0,00;6,50;6,50;;22,0;314,0;52,0;15,0;;0,8;0,1;0,8;0,4;;;;0,0;;;;28;;;;;;;;;;;;432;;;;;;;;;;1,10;0,00;0,00;;;0,00;;;;;;0,90;;;;;;0,00;;;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;;0,04;;0,00;;;;;;;;;0,00;;;0,00;;;0,00;;0,00;;;;;;;;0,08;;0,01;;0,00;;;;;0,00;0,00;;;;;0,00;;0,00;;;;0,05;0,00;0,09;;;0,14;0,01;0,08;0;0,20;70;94;60;13;10;50;38;48;5;60;60;22;60;124;160;56;56;48;;;422;612;;;9,9;;;;;;;;14,0;6,25;0,700;;;40;Blad- og stængelgrøntsager;Leaf and stem vegetables
Aubergine, rå;Aubergine, raw;69;69;72;73;17;17;0,9;0,4;0,9;4,5;2,3;2,4;2,2;0,0;0,0;0,0;0,4;5,9;94,2;5,2;0,0;31,4;;0,00;0,00;;;;0,00;0,00;;;;;0,60;;;;;;;;;0,6;0,02;;0,03;0,41;0,36;0,05;0,33;1,94;6;8;0,00;1,30;;;1,3;217,5;10,5;13,6;;0,2;0,0;0,1;0,1;0,0;9,9;;0,0;;;;25;;;;0,00;;0,40;1,00;0,16;0,69;0,35;;268;1,00;0,00;1,15;2,15;0,00;0,00;0,00;0,00;;2,15;0,00;0,00;;;0,20;;;2,18;0,05;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,14;0;41;42;0;6;0;0;26;3;35;33;0;30;100;115;26;16;30;0;;146;356;3,400;0,02;6,9;0,3;;;;;;;10,8;6,25;0,800;;;41;Frugt-grøntsager;Fruit -Vegetables
Grisekød, hakket, 10-15% fedt, råt;Pork, mince, 10-15% fat, raw;1612;1612;705;705;169;169;18,9;;18,9;0,0;0,0;0,0;0,0;10,4;0,0;0,1;1,0;30,3;69,7;7,2;7,2;;;0,59;;;;;0,54;0,54;;;;;;;;;;;;;;;0,72;;0,19;9,82;5,98;0,32;0,71;2,96;4;;0,72;;;;58,9;331,4;7,7;20,8;;0,9;0,1;2,2;0,0;;;;7,2;;;;190;;;;0,90;;;;;;;;610;;;;;;;;;;0,00;;;;;0,00;;;;;;;;;;;;;;;;;;;;0,00;0,01;;0,15;;2,22;;1,17;0,01;;;;;;0,00;;0,31;;0,33;3,53;;;0,08;;;;;;;0,05;;;0,95;;0,10;;;;;;;;;;;;;;;;;;0,16;3,57;4,25;1,05;0,05;;9,08;0,10;0,95;65;3,15;1030;1560;1850;530;140;760;700;890;230;1130;1230;790;1190;1850;2750;960;760;830;;;;;;;61,5;;;;;;;;0,0;6,25;0,873;;;60;Grisekød (Svinekød);Pork
Hestekød, råt;Horse, meat, raw;923;923;693;703;166;168;19,0;16,1;19,0;0,0;0,0;0,6;0,0;10,0;0,0;0,2;1,0;30,0;70,0;27,7;21,0;40,0;;0,30;0,30;;;;0,23;0,23;;;;;0,00;;;;;;;;;0,0;0,14;;0,27;7,74;4,50;0,50;0,60;2,60;8;;3,10;0,60;0,60;;62,0;291,0;10,0;20,0;;3,5;0,1;4,6;0,0;2,0;0,0;;6,0;;;;185;;;;1,00;;2,00;;;;;;572;;;;;;;;;;0,00;0,00;0,00;;;0,60;;;;;;;;;;;;;;;;;;;;;;;;;2,79;0,05;0,80;;;;;;;;;0,50;;;2,79;;;0,05;;;;;;;;;;1,15;;1,00;;;;0,05;;;0,20;;;;;;;;;;;;3,64;3,35;2,41;;;9,40;1,06;1,35;75;3,04;912;1490;1642;456;137;730;669;730;195;912;1155;730;1186;1733;2584;1034;1672;760;;;7795;10929;;;;;;;;;;;25,0;6,25;0,940;;;57;Andet kød og ferske kødprodukter;Other meat and fresh meat products
Oksekød, højrebsfilet, afpudset, rå;"Beef, striploin ""cap off"", raw";871;871;723;703;173;168;20,9;17,5;20,9;1,2;1,2;0,0;0,0;9,4;0,0;0,1;0,9;32,3;67,7;0,0;0,0;0,0;;0,73;0,18;0,03;0,16;0,05;0,31;0,31;0,00;0,00;0,00;;0,00;;;;;;;;;0,0;0,04;;0,16;9,74;5,88;0,32;2,07;0,96;8;4;1,37;0,00;0,00;;53,7;320,0;5,3;19,0;;2,0;0,1;4,5;0,0;3,9;0,0;;6,6;;;;153;;;;0,27;;5,00;0,05;0,53;0,90;2,50;;553;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;;;0,00;0,00;0,00;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,22;0,01;2,12;0,07;1,37;0,00;0,00;0,00;0,00;0,00;0,00;0,05;0,00;0,25;0,04;0,08;2,78;;0,00;0,00;;0,00;0,00;0,00;0,00;0,00;0,10;0,00;0,00;0,11;;0,02;0,00;0,00;0,00;0,00;0,00;;0,01;0,00;;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,41;3,78;3,19;0,13;0,10;0,07;7,62;0,02;0,12;67;3,34;996;1666;1833;526;158;862;703;924;232;1094;1306;747;1277;1891;3104;1107;884;846;173;0;8879;11277;0,230;;61;2,35;0,003;0,23;0,84;2,58;;6,233;2,0;6,25;0,809;;;58;Oksekød;Beef
Sandwich med kylling og bacon, salat og dressing, fastfood;Sandwich with chicken and bacon, salad and dressing, fast food;1623;1623;846;702;202;168;11,4;9,3;11,4;23,1;21,6;13,1;1,6;7,4;0,0;1,3;1,9;43,8;56,2;13,5;0,0;81,0;14,10;0,23;0,06;0,00;0,07;0,00;1,20;1,20;;;;;10,10;8,60;0,00;0,00;0,05;0,00;0,13;0,1;8,9;19,0;0,11;;0,07;5,68;3,48;0,08;0,55;4,32;14;;0,18;2,75;;;529,2;221,7;23,3;19,7;;0,6;0,1;0,6;0,2;0,0;9,1;;4,4;;;;130;;864,25;;0,00;;;;;;;;1789;0,49;;0,48;0,96;0,00;1,09;0,00;1,09;;2,05;;;;;11,05;;;1,04;0,51;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;0,86;0,00;0,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,15;2,41;0,00;0,00;0,02;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,94;0,00;0,37;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,18;2,60;2,32;0,00;0,00;6,10;0,37;1,95;28;1,82;479;853;775;189;137;577;340;444;132;533;626;321;561;895;2245;498;663;485;0;0;4301;6449;;;;;;;;;;;0,0;6,25;0,825;;;131;Sandwich, burger, hotdog, pita o.l.;Sandwich, burger, hotdog etc.
Brie, 11%;Cheese, Brie, 11%;1774;1774;737;705;176;168;23,2;;22,8;1,5;1,5;0,1;0,0;8,6;0,0;1,5;3,4;36,7;63,3;86,0;86,0;0,0;;0,14;;;;;0,27;0,27;;;;;0,00;;;;;;;;;0,0;0,04;;0,38;0,67;0,67;0,14;0,14;3,50;;;0,90;;;;599,5;124,5;521,5;21,3;;0,1;0,0;2,7;0,0;0,4;;;7,4;;;;369;;1100,00;;11,85;;1,24;;;;;;2736;0,06;0,00;0,00;0,06;0,00;;0,00;0,00;;0,06;;;;;0,00;;;;;;;;;;;;;;;;;0,16;0,13;0,09;0,21;0,26;;0,88;0,10;2,47;;0,87;;;;;;;0,08;;0,13;;0,07;1,65;;;;;;;;;;0,28;;;0,13;0,04;0,07;;;;;;;;;;;;;;;;0,06;;0,14;5,15;1,93;0,24;0,34;;7,80;0,07;0,13;30;3,64;;;;;;;;;;;;;;;;;;;;;;;;;15,4;;;;;;;;0,0;6,38;0,911;;;14;Blød løbeost;Soft rennet cheese
Pålæg i skiver, med æggehvide;Cold cuts, with eggwhite;1792;1792;718;696;173;168;7,9;6,8;7,9;4,6;2,5;1,2;2,2;14,2;0,0;2,4;3,0;29,7;70,3;55,4;;332,5;;;;;;;3,30;3,30;0,00;4,54;0,00;;13,30;;;;;;;;;13,3;0,05;;0,32;2,32;0,33;0,04;1,24;11,65;17;;0,00;;;;945,0;210,0;38,0;11,0;;0,2;0,0;0,1;0,1;12,0;1,5;;6,9;;;;30;;;;0,00;;0,00;0,00;0,00;0,00;;;1234;0,00;;1,15;1,15;0,00;0,00;0,00;0,00;;1,15;;;;;0,00;;;0,00;2,16;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,60;0,00;0,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,39;8,08;;0,17;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,46;;0,95;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;;0,00;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,82;8,64;3,41;0,00;0,00;12,87;0,95;2,46;2;1,26;384;641;538;243;210;461;295;367;120;530;459;194;485;817;1040;299;271;537;0;0;3476;4411;;;;;;;;;;;0,0;6,25;0,907;;;169;Plantebaserede alternativer til kød;Plant-based alternatives to meat
Stenbider, rå;Lump, lumpsucker, raw;737;737;697;692;168;167;9,8;;9,8;0,3;0,3;0,0;0,0;14,2;0,0;0,2;1,1;25,4;74,6;11,0;11,0;0,0;;3,90;3,90;;;;;;;;;;0,00;;;;;;;;;0,0;0,07;;0,08;2,00;2,00;;;;;;;0,00;0,00;;69,0;485,0;20,0;;;0,5;;;;1,2;;;16,5;;;;203;;;;50,00;;0,00;2,10;134,00;0,44;0,00;;778;;;;;;;;;;0,00;0,00;0,00;;;0,00;;;;;;;;;;;;;;;;;;;;;;;1,14;;1,57;;0,30;;;;;;;;;1,38;;;2,74;;;1,91;;1,70;;;;;;;;0,22;;;;;;;;;;1,10;;;;;0,09;;0,94;;;;3,01;7,74;2,35;;;13,11;2,13;0,22;;1,57;;;;;;;;;;;;;;;;;;;;;;;;;65;;;;;;;;50,0;6,25;0,923;;;73;Fed fisk;Oily fish
Miso, sojapasta;Miso, soy paste;679;679;700;700;167;167;10,5;;10,5;23,5;18,1;18,1;5,4;4,6;0,0;7,4;8,4;47,0;53,0;4,0;0,0;24,0;;0,00;0,00;;;;0,10;;;;;;;;;;;;;;;;0,06;;0,10;2,40;0,30;0,30;;;19;;0,00;0,00;;;2950,0;335,0;68,0;100,0;;1,7;;3,3;;;;;1,0;;;;310;;;;31,00;;;;;;;;3765;;;;0,40;;;;0,80;;1,20;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,60;1,10;2,60;;;4,32;0,31;2,29;0;1,68;;;;;;;;;126;;;;;;;;;;;;126;;;;72,2;;;;;;;;0,0;6,25;0,940;;;124;Bouillon, ekstrakter o.l.;Bouillon, extracts and the like
