FødevareNavn;FoodName;FoodID;TaxonomicName;NCBI;FoodEx2Code;FoodEx2Description;FoodOntology;LangualCode;EurofirFoodClassificationCode;Nøglehulsmærket;FoodGroupID;FødevareGruppe;FoodGroup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacaoskummetmælk;Milk, skimmed, with chocolate;1107;Bos taurus (Linnaeus, 1758);9913;A02MP#F28.A07HV$F28.A07LJ$F04.A03HG$F04.A032J$F07.A06YN;Flavoured milks, PROCESS = Pasteurisation, PROCESS = Homogenizing or emulsifying, INGREDIENT = Cocoa powder, INGREDIENT = White sugar, FAT-CONTENT = 0.5 % fat;FOODON_03304793;A0148,A0452,A0626,A0721,A0724,A0770,A0781,B1201,C0235,E0123,F0018,G0003,H0136,H0231,H0248,J0131,J0135,K0003,M0142,N0017,P0024,Z0001;A0781;0;4;Usyrnede mælkeprodukter;Unfermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cacaoskummetmælk (UHT);Milk, skimmed, with chocolate (UHT);1108;Bos taurus (Linnaeus, 1758);9913;A02MP#F28.A07LJ$F28.A07HY$F04.A03HG$F04.A032J$F07.A06YN;Flavoured milks, PROCESS = Homogenizing or emulsifying, PROCESS = UHT, INGREDIENT = Cocoa powder, INGREDIENT = White sugar, FAT-CONTENT = 0.5 % fat;FOODON_03304793;A0148,A0452,A0626,A0721,A0724,A0770,A0781,B1201,C0235,E0123,F0014,G0003,H0136,H0231,H0248,J0147,K0003,M0142,N0017,P0024,Z0001;A0781;0;4;Usyrnede mælkeprodukter;Unfermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oksekød, højrebsfilet med kappe, rå;"Beef, striploin ""cap on"", raw";1109;Bos taurus (Linnaeus, 1758);9913;A01QX#F03.A06HZ$F07.A073C$F20.A07QM$F20.A07QR$F20.A0F4T;Cow, ox or bull fresh meat, PHYSICAL-STATE = Primal cuts / fillets / halves or quarters, FAT-CONTENT = 15 % fat, PART-CONSUMED-ANALYSED = W/o bone, PART-CONSUMED-ANALYSED = W/o skin, PART-CONSUMED-ANALYSED = Including visible fat;FOODON_00003301;A0150,A0459,A0633,A0714,A0726,A0737,A0794,B1201,C0269,E0150,F0003,G0003,H0003,J0131,K0001,M0001,N0001,P0024,Z0031;A0794;0;58;Oksekød;Beef;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camembert, 30+;Cheese, Camembert, 30 % fidm.;1110;Bos taurus (Linnaeus, 1758);9913;A02RX#F07.A072Y;Cheese, camembert, FAT-CONTENT = 11 % fat;FOODON_03302995;A0138,A0314,A0452,A0626,A0720,A0724,A0775,A0785,B1201,C0245,E0119,F0001,G0003,H0101,H0253,H0330,H0367,J0104,J0131,K0003,M0001,N0001,P0024,Z0001;A0785;0;14;Blød løbeost;Soft rennet cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lucernespirer, rå;Alfalfa seeds, sprouted, raw;1111;Medicago sativa (Linnaeus, 1753);3879;A00SH;Alfalfa sprouts;FOODON_00001582;A0152,A0455,A0629,A0650,A0704,A0730,A0831,B1359,C0183,E0150,F0003,G0003,H0003,J0001,K0003,M0001,N0001,P0024,Z0001;A0831;1;171;Friske bælgplanter;Fresh legumes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grisekød, uspec., ca. 20 % fedt, råt;Pork, meat, approx. 20 % fat, raw;1112;Sus scrofa domesticus (Linnaeus, 1758);9825;A01RG#F07.A073G$F20.A07QM$F20.A07QR;Pig fresh meat, FAT-CONTENT = 19 % fat, PART-CONSUMED-ANALYSED = W/o bone, PART-CONSUMED-ANALYSED = W/o skin;FOODON_03302735;A0150,A0459,A0633,A0714,A0726,A0737,A0794,B1136,C0268,E0152,F0003,G0003,H0247,J0131,K0001,M0001,N0001,P0024,Z0018,Z0185;A0794;0;60;Grisekød (Svinekød);Pork;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lakrids, salt;Liquorice, salt;1114;NULL;NULL;A035J#F10.A0CJK$F26.A07XD;Liquorice candies, QUALITATIVE-INFO = With added salt, GENERIC-TERM = Unspecified;FOODON_03301663;A0293,A0456,A0630,A0663,A0698,A0733,A0838,B2048,C0228,E0140,F0001,G0003,H0117,H0138,H0150,H0158,H0221,H0319,H0367,J0145,J0146,K0003,M0001,N0001,P0024,Z0001;A0838;0;182;Slik;Candy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kiks, 20-30% fuldkorn, digestivetype;Biscuit, 20-30% wholemeal, digestive type;1115;NULL;NULL;A009V#F04.A003Y$F04.A004B$F04.A032H;Biscuits, INGREDIENT = Wheat flour white, INGREDIENT = Wheat wholemeal flour, INGREDIENT = Sucrose (common sugar);FOODON_03309518;A0203,A0458,A0632,A0663,A0695,A0729,A0821,B1312,C0132,E0140,F0014,G0005,H0138,H0158,H0272,J0120,J0145,K0003,M0156,N0001,P0024,Z0001;A0821;0;32;Kiks og småkager;Biscuits and cookies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grisekød, mellemkam med svær, rå;Pork, loin with rind, raw;1117;Sus scrofa domesticus (Linnaeus, 1758);9825;A01RG#F07.A073K$F20.A07QM$F20.A07QQ;Pig fresh meat, FAT-CONTENT = 22 % fat, PART-CONSUMED-ANALYSED = W/o bone, PART-CONSUMED-ANALYSED = With skin;FOODON_00002570;A0150,A0459,A0633,A0714,A0726,A0737,A0794,B1136,C0267,E0150,F0003,G0003,H0003,J0131,K0003,M0001,N0001,P0024,Z0031;A0794;0;60;Grisekød (Svinekød);Pork;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vingummi;Fruit gums;1118;NULL;NULL;A035K;Gum drops;FOODON_00003188;A0293,A0456,A0630,A0663,A0698,A0733,A0838,B1012,C0108,E0140,F0001,G0003,H0117,H0146,H0150,H0158,H0165,H0221,H0356,J0145,J0146,K0003,M0166,N0036,P0024,Z0001;A0838;0;182;Slik;Candy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brisling (sardin), i olie, konserves;Sprat (sardine), in oil, canned;1120;Sprattus sprattus (Linnaeus, 1758);196075;A0FBY#F28.A07HZ$F06.A06XJ;Canned sprats, PROCESS = Statical sterilisation (in batch or package), SURROUNDING-MEDIUM = In vegetable oil;FOODON_03307981;A0267,A0460,A0634,A0717,A0727,A0666,A0803,B1235,C0265,E0131,F0014,G0001,H0367,J0123,K0026,M0204,M0151,N0001,P0024,Z0001;A0803;1;79;Fiskeprodukter;Fish products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sardin, i olie, konserves;Sardine, in oil, canned;1121;Clupeidae (Linnæus, 1758);55118;A0FBZ#F28.A07HZ$F28.A07HK$F06.A06XJ;Canned sardines, PROCESS = Statical sterilisation (in batch or package), PROCESS = Breading, SURROUNDING-MEDIUM = In vegetable oil;FOODON_03308329;A0267,A0460,A0634,A0717,A0727,A0666,A0803,B1558,C0265,E0131,F0014,G0001,H0367,J0110,J0123,K0026,M0204,M0151,N0001,P0024,Z0001;A0803;1;79;Fiskeprodukter;Fish products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kiks til ost, Cream Crackers;Cream Crackers;1122;NULL;NULL;A005Y#F04.A009L;Crackers and breadsticks, INGREDIENT = Laminated doughs;FOODON_03305260;A0203,A0458,A0632,A0663,A0695,A0729,A0821,B1312,C0132,E0140,F0014,G0005,H0138,H0148,H0158,H0272,J0120,J0100,K0003,M0156,N0001,P0024,Z0001;A0821;0;32;Kiks og småkager;Biscuits and cookies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grisekød, kogestykke af bryst med svær, rå;Pork, thin belly with rind, raw;1124;Sus scrofa domesticus (Linnaeus, 1758);9825;A01RG#F07.A073N$F20.A07QM$F20.A07QQ;Pig fresh meat, FAT-CONTENT = 25 % fat, PART-CONSUMED-ANALYSED = W/o bone, PART-CONSUMED-ANALYSED = With skin;FOODON_03302735;A0150,A0459,A0633,A0714,A0726,A0737,A0794,B1136,C0267,E0150,F0003,G0003,H0003,J0131,K0001,M0001,N0001,P0024,Z0063;A0794;0;60;Grisekød (Svinekød);Pork;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modermælk, colostrum;Human milk, colostrum;1125;Homo sapiens (Linnaeus, 1758);9606;A02MJ;Human milk;FOODON_03303918;A0464,A0638,A0723,A0736,A0740,A0780,B1087,C0235,E0109,F0003,G0003,H0003,J0003,K0003,M0003,N0003,P0020,Z0001;A0780;0;6;Modermælk og modermælkserstatning;Breast milk and  infant formula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Morgenmadsprodukt, Havrefras;Breakfast cereal, Havrefras;1126;NULL;NULL;A00EL#F04.A004P$F04.A042P$F04.A032H$F04.A00EE$F09.A0EXY$F09.A0EXX$F09.A0EXV$F09.A0EXD;Mixed breakfast cereals, INGREDIENT = Wheat bran, INGREDIENT = Salt, INGREDIENT = Sucrose (common sugar), INGREDIENT = Wheat, popped, FORTIFICATION-AGENT = Vitamin B1   (thiamine), FORTIFICATION-AGENT = Vitamin B2   (riboflavin), FORTIFICATION-AGENT = Vitamin B3   (niacin, niacinamide), FORTIFICATION-AGENT = Iron;FOODON_03311153;A0729,A0692,A0768,A0258,A1278,A0816,B1219,C0133,E0140,F0014,G0003,H0351,H0754,H0268,H0173,H0280,H0749,H0347,H0319,J0116,K0003,M0156,M0166,N0036,P0024,Z0112;A0816;0;34;Morgenprodukter;Breakfast products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pølse, cervelatpølse, pålæg;Pork/beef sausage, saveloy type;1128;NULL;NULL;A025A#F28.A07GL;German salami, PROCESS = Boiling;FOODON_00001605;A0221,A0459,A0633,A0667,A0714,A0726,A0798,B1105,C0269,E0147,F0014,G0013,H0151,H0262,H0152,H0367,J0120,J0131,K0003,M0001,N0001,P0024,Z0001;A0798;0;65;Pålægsvarer;Cold cuts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mintgele;Mint jelly;1131;NULL;NULL;A00XZ#F28.A0BA1$F10.A077J$F03.A0CEB;Mints, PROCESS = Cooking and similar thermal preparation processes, QUALITATIVE-INFO = With added sugar, PHYSICAL-STATE = Jelly;FOODON_03305875;A0209,A0455,A0629,A0661,A0707,A0732,A0837,B1267,C0213,E0119,F0014,G0003,H0136,H0165,J0120,J0145,J0146,K0003,M0001,N0001,P0024,Z0001;A0837;0;185;Marmelade, gele o.l.;Marmelade, jelly etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sild, høstsild, fedsild, rå;Herring, autumn, raw;1132;Clupea harengus (Linnaeus, 1758);7950;A02DF#F21.A07RY$F03.A06HZ$F07.A073G;Herring, atlantic, PRODUCTION-METHOD = Wild or gathered or hunted, PHYSICAL-STATE = Primal cuts / fillets / halves or quarters, FAT-CONTENT = 19 % fat;FOODON_03308102;A0267,A0460,A0634,A0717,A0727,A0747,A0802,B1414,C0265,E0150,F0003,G0003,H0003,J0131,K0003,M0001,N0001,P0024,Z0001;A0802;1;73;Fed fisk;Oily fish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spædbørnsmad, modermælkserstatning, lavt jernindhold, drikkeklar;Baby food, infant formula, low iron content, prepared;1134;NULL;NULL;A03QE;Infant formulae, liquid;FOODON_03311098;A0309,A0464,A0638,A0723,A0736,A0776,A0873,B1201,C0113,E0123,F0014,G0003,H0159,H0163,H0263,H0297,J0120,K0003,M0001,N0001,P0020,Z0001;A0873;0;135;Spædbørnsmad;Infant food;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vekao;Vecao;1135;NULL;NULL;A034T#F04.A03HG$F04.A036N$F04.A032H$F04.A047V;Chocolate substitutes, INGREDIENT = Cocoa powder, INGREDIENT = Vegetable fats and oils, edible, INGREDIENT = Sucrose (common sugar), INGREDIENT = Emulsifier;FOODON_03311728;A0272,A0456,A0630,A0663,A0699,A0733,A0839,B1318,C0155,E0140,F0014,G0003,H0136,H0263,J0145,J0146,K0003,M0001,N0001,P0024,Z0001;A0839;0;104;Chokoladevarer o.l.; Chocolate etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Medisterpølse, røget;Pork, mettwurst, smoked;1136;NULL;NULL;A024J#F28.A07JV$F04.A01RG$F04.A01VA;Fresh spiced sausages in casing, PROCESS = Smoking, INGREDIENT = Pig fresh meat, INGREDIENT = Pig fat tissue;FOODON_03310623;A0221,A0459,A0633,A0667,A0714,A0726,A0798,B1136,C0103,E0147,F0022,G0001,H0262,H0118,H0151,H0173,J0100,J0106,J0120,J0131,K0003,M0001,N0001,P0024,Z0001;A0798;0;64;Kogt, røget, saltet eller tørret kød;Boiled, smoked, cured or dried meat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacon i skiver, rå;Bacon, sliced, raw;1137;Sus scrofa domesticus (Linnaeus, 1758);9825;A022X#F28.A07KV;Bacon, PROCESS = Slicing;FOODON_03301955;A0279,A0459,A0633,A0714,A0726,A0737,A0797,B1136,C0268,E0100,F0003,G0003,H0118,H0173,H0253,H0691,J0100,J0103,J0106,J0131,K0003,M0001,N0001,P0024,Z0046;A0797;0;64;Kogt, røget, saltet eller tørret kød;Boiled, smoked, cured or dried meat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sandwich med skinke og ost, toasted, fastfood (Parisertoast);Sandwich with ham and cheese, toasted, fast food;1138;NULL;NULL;A03ZA#F28.A07HC$F04.A022T;Sandwich with cheese topping/filling, PROCESS = Toasting / coffee roasting, INGREDIENT = Ham, pork;FOODON_03307824;A0218,A0459,A0641,A0667,A0714,A0726,A1203,B1136,C0268,E0147,F0014,G0005,H0143,H0319,H0367,H0753,J0142,K0003,M0001,N0001,P0024,Z0112;A1203;0;131;Sandwich, burger, hotdog, pita o.l.;Sandwich, burger, hotdog etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lucerne, alfalfa, frø;Alfalfa seeds;1142;Medicago sativa (Linnaeus, 1753);3879;A012R;Pulses (dried legume seeds);FOODON_03301594;A0152,A0455,A0629,A0704,A0730,A0757,A0831,B1359,C0133,E0150,F0001,G0003,H0138,J0116,K0003,M0001,N0001,P0024,Z0001;A0831;1;173;Tørrede bælgplanter;Dried pulses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wienerpølse;Pork, sausage, frankfurter;1143;NULL;NULL;A026B#F28.A07JV;Frankfurt-type sausage, PROCESS = Smoking;FOODON_00004095;A0221,A0459,A0633,A0667,A0714,A0726,A0798,B1136,C0164,E0147,F0022,G0001,H0118,H0151,H0173,J0100,J0106,J0120,J0131,K0001,M0001,N0001,P0024,Z0001;A0798;0;64;Kogt, røget, saltet eller tørret kød;Boiled, smoked, cured or dried meat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dressing, mayonnaise;Salad dressing, mayonnaise;1147;NULL;NULL;A045K#F28.A0CRH$F04.A044X;Salad dressing, PROCESS = Seasoning, INGREDIENT = Mayonnaise sauce;FOODON_00001234;A0136,A0453,A0627,A0663,A0700,A0728,A0859,B1017,C0190,E0110,F0014,G0003,H0148,H0151,H0186,H0200,H0306,H0367,J0100,K0003,M0135,N0040,P0024,Z0001;A0859;0;98;Dressings;Dressings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rugsigtemel (udmalingsgrad ca. 70 %);Rye-flour, bolted (extraction rate 70 %);1148;Secale cereale (Linnaeus, 1753);4550;A003L#F28.A07LB;Rye flour, medium, PROCESS = Sifting;FOODON_03302492;A0149,A0457,A0631,A0696,A0729,A0761,A0813,B1313,C0132,E0117,F0003,G0003,H0138,H0319,J0116,K0003,M0120,N0039,P0024,Z0001;A0813;0;30;Mel og klid;Flour and bran;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oksekød, entrecote med kappe, rå;"Beef, entrecote ""cap on"", raw";1149;Bos taurus (Linnaeus, 1758);9913;A01QX#F07.A073J$F20.A07QM$F20.A07QR$F20.A0F4T;Cow, ox or bull fresh meat, FAT-CONTENT = 21 % fat, PART-CONSUMED-ANALYSED = W/o bone, PART-CONSUMED-ANALYSED = W/o skin, PART-CONSUMED-ANALYSED = Including visible fat;FOODON_03311663;A0150,A0459,A0633,A0714,A0726,A0737,A0794,B1201,C0269,E0150,F0003,G0003,H0003,J0131,K0001,M0001,N0001,P0024,Z0027;A0794;0;58;Oksekød;Beef;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kippers i olie, konserves;Kippers, in oil, canned;1150;Clupea harengus (Linnaeus, 1758);7950;A0FBX#F28.A16ET$F06.A06XJ$F20.A07QQ;Canned herring, PROCESS = Hot smoking, SURROUNDING-MEDIUM = In vegetable oil, PART-CONSUMED-ANALYSED = With skin;FOODON_03309099;A0267,A0460,A0634,A0717,A0727,A0666,A0803,B1414,C0267,E0131,F0014,G0001,H0367,H0118,J0106,J0123,K0026,M0204,M0151,N0001,P0024,Z0001;A0803;0;79;Fiskeprodukter;Fish products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spegesild;Herring, salted, ripened;1152;Clupea harengus (Linnaeus, 1758);7950;A02DF#F28.A0C6F$F10.A0CJK$F03.A06HZ;Herring, atlantic, PROCESS = Ripening, QUALITATIVE-INFO = With added salt, PHYSICAL-STATE = Primal cuts / fillets / halves or quarters;FOODON_03309210;A0267,A0460,A0634,A0717,A0727,A0747,A0803,B1414,C0267,E0131,F0003,G0003,H0151,H0173,H0293,J0103,K0018,M0001,N0001,P0024,Z0001;A0803;0;79;Fiskeprodukter;Fish products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Letmælkskefir;Milk, 1.5 % fat, cultured, kefir;1153;Bos taurus (Linnaeus, 1758);9913;A02NV#F07.A06ZA;Kefir, FAT-CONTENT = 1.5 % fat;FOODON_03304701;A0148,A0452,A0626,A0721,A0724,A0740,A0783,B1201,C0235,E0130,F0018,G0003,H0107,J0131,J0135,K0003,M0001,N0001,P0024,Z0001;A0783;0;5;Syrnede mælkeprodukter;Fermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Letmælk, økologisk;Milk, partly skimmed, organic, 1.5 % fat;1154;Bos taurus (Linnaeus, 1758);9913;A02LZ#F28.A07HT$F21.A07SE$F07.A06ZA;Cow milk, semi skimmed (half fat), PROCESS = Low pasteurisation (thermisation), PRODUCTION-METHOD = Organic production, FAT-CONTENT = 1.5 % fat;FOODON_03317576;A0148,A0452,A0626,A0719,A0724,A0740,A0780,B1201,C0235,E0123,F0018,G0003,H0247,J0131,J0135,K0003,M0142,N0017,P0024,P0128,Z0291;A0780;0;4;Usyrnede mælkeprodukter;Unfermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dressing, olie-eddike;Salad dressing, oil and vinegar;1156;NULL;NULL;A045K#F28.A0CRH$F04.A044L$F04.A036N;Salad dressing, PROCESS = Seasoning, INGREDIENT = Vinegar, INGREDIENT = Vegetable fats and oils, edible;FOODON_03304711;A0136,A0453,A0627,A0663,A0700,A0728,A0859,B1017,C0190,E0110,F0014,G0003,H0148,H0151,H0200,H0306,H0367,J0100,K0003,M0135,N0040,P0024,Z0001;A0859;0;98;Dressings;Dressings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Muskatnød, hel;Nutmeg, whole;1157;Myristica fragrans (Houttuyn, 1774);51089;A018J#F28.A07KG;Nutmeg seed, PROCESS = Drying (dehydration);FOODON_03301187;A0260,A0463,A0637,A0653,A0703,A0730,A0823,B1214,C0135,E0150,F0003,G0003,H0138,J0116,K0003,M0001,N0001,P0024,Z0001;A0857;0;120;Krydderier;Spices;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rullepølse, pålæg;Pork, flank, spiced, cooked;1158;NULL;NULL;A01RG#F28.A0CRH$F28.A07GL$F10.A0CJK;Pig fresh meat, PROCESS = Seasoning, PROCESS = Boiling, QUALITATIVE-INFO = With added salt;FOODON_03311610;A0150,A0459,A0633,A0667,A0714,A0726,A0798,B1136,C0103,E0147,F0014,G0012,H0349,H0151,H0367,J0100,J0131,J0120,K0003,M0001,N0001,P0024,Z0063;A0798;0;65;Pålægsvarer;Cold cuts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosenkål, vinter (januar til april), rå;Brussels sprouts, winter (January to April), raw;1159;Brassica oleracea  var. gemmifera (Linnaeus, 1753);178616;A00FV#F20.A07QH;Brussels sprouts, PART-CONSUMED-ANALYSED = W/o stem;FOODON_03301714;A0152,A0455,A0629,A0675,A0705,A0731,A0826,B1611,C0151,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0826;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kørvel, rå;Chervil, raw;1160;Anthriscus cerefolium (Linnaeus, 1753) (Hoffmann, 1814);40888;A00XB#F20.A07RP;Chervil, PART-CONSUMED-ANALYSED = W/o roots;FOODON_03301221;A0113,A0455,A0629,A0653,A0705,A0731,A0857,B1444,C0144,E0150,F0003,G0003,H0003,J0003,K0003,M0001,N0001,P0024,Z0001;A0857;1;40;Blad- og stængelgrøntsager;Leaf and stem vegetables;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pølse, bratwurst, thüringer;Pork sausage, Thüringer bratwurst;1161;NULL;NULL;A024P;Thuringian sausage;FOODON_00002729;A0221,A0459,A0633,A0667,A0714,A0726,A0798,B1136,C0103,E0147,F0014,G0001,H0262,H0151,H0173,J0100,J0120,J0131,K0003,M0001,N0001,P0024,Z0001;A0798;0;64;Kogt, røget, saltet eller tørret kød;Boiled, smoked, cured or dried meat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jordnøddesmør;Peanut butter;1162;Arachis hypogaea (Linnaeus, 1753);3818;A01BN;Peanut butter;FOODON_03315707;A0260,A0453,A0627,A0663,A0722,A0730,A0831,B1337,C0134,E0119,F0001,G0003,H0367,H0263,H0158,J0145,K0003,M0001,N0001,P0024,Z0001;A0831;0;178;Nøddeprodukter;Nut products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pølse, krakowpølse;Pork sausage, polony type;1163;NULL;NULL;A025P;Polish-type cooked sausage;FOODON_00002729;A0221,A0459,A0633,A0667,A0714,A0726,A0798,B1136,C0103,E0147,F0022,G0001,H0262,H0151,H0172,H0173,J0100,J0120,J0131,K0003,M0001,N0001,P0024,Z0001;A0798;0;64;Kogt, røget, saltet eller tørret kød;Boiled, smoked, cured or dried meat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Majs, kerner, konserves;Sweetcorn, kernels, canned;1164;Zea mays (Linnaeus, 1753);4577;A00ZP#F28.A07HZ$F06.A06XT$F20.A07RF;Sweet corn canned, PROCESS = Statical sterilisation (in batch or package), SURROUNDING-MEDIUM = In salt brine, PART-CONSUMED-ANALYSED = W/o cob;FOODON_03301386;A0125,A0457,A0631,A0662,A0696,A0729,A0826,B1380,C0133,E0150,F0014,G0003,H0367,J0123,K0017,M0151,N0041,P0024,Z0001;A0826;1;46;Grøntsagskonserves;Canned vegetable products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Æble, tørret;Apple, dried;1166;Malus domestica (Borkhausen, 1803);3750;A01MC#F20.A07RH$F20.A07RD;Dried apples, PART-CONSUMED-ANALYSED = W/o core, PART-CONSUMED-ANALYSED = W/o seeds;FOODON_03301950;A0143,A0455,A0629,A0707,A0732,A0756,A0834,B1245,C0229,E0152,F0001,G0003,H0138,J0116,K0003,M0001,N0001,P0024,Z0001;A0834;0;184;Tørrede frugt og bær produkter;Dried fruit and berry products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modermælk, overgangsmælk (10. dag efter fødslen);Human milk, transitional (10th day post partum);1167;Homo sapiens (Linnaeus, 1758);9606;A02MJ;Human milk;FOODON_03303918;A0464,A0638,A0723,A0736,A0740,A0780,B1087,C0235,E0109,F0003,G0003,H0003,J0003,K0003,M0003,N0003,P0020,Z0001;A0780;0;6;Modermælk og modermælkserstatning;Breast milk and  infant formula;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yoghurt, med frugt, 1.5 % fedt;Yogurt, with fruit, 1.5 % fat;1169;NULL;NULL;A02NH#F04.A01MM$F07.A06ZA;Yoghurt, cow milk, flavoured, INGREDIENT = Jam of fruit / vegetables, FAT-CONTENT = 1.5 % fat;FOODON_03315410;A0148,A0452,A0626,A0721,A0724,A0740,A0783,B1201,C0235,E0130,F0018,G0003,H0107,H0136,H0362,J0131,J0135,K0003,M0142,N0017,P0024,Z0001;A0783;0;5;Syrnede mælkeprodukter;Fermented milk products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
